# Sequence-Name	UCSC-style-name
1	chr1
CHR_HSCHRUN_RANDOM_CTG22	chrUn_KI270745v1
CHR_HSCHRUN_RANDOM_CTG23	chrUn_KI270746v1
CHR_HSCHRUN_RANDOM_CTG24	chrUn_KI270747v1
CHR_HSCHRUN_RANDOM_CTG25	chrUn_KI270748v1
CHR_HSCHRUN_RANDOM_CTG26	chrUn_KI270749v1
CHR_HSCHRUN_RANDOM_CTG27	chrUn_KI270750v1
CHR_HSCHRUN_RANDOM_CTG28	chrUn_KI270751v1
CHR_HSCHRUN_RANDOM_CTG29	chrUn_KI270752v1
CHR_HSCHRUN_RANDOM_CTG30	chrUn_KI270753v1
CHR_HSCHRUN_RANDOM_CTG33	chrUn_KI270754v1
CHR_HSCHRUN_RANDOM_CTG34	chrUn_KI270755v1
CHR_HSCHRUN_RANDOM_CTG35	chrUn_KI270756v1
CHR_HSCHRUN_RANDOM_CTG36	chrUn_KI270757v1
CHR_HSCHR1_1_CTG31	chr1_GL383518v1_alt
CHR_HSCHR1_2_CTG31	chr1_GL383519v1_alt
CHR_HSCHR1_3_CTG31	chr1_GL383520v2_alt
CHR_HSCHR1_1_CTG32_1	chr1_KI270759v1_alt
CHR_HSCHR1_1_CTG11	chr1_KI270760v1_alt
CHR_HSCHR1_2_CTG32_1	chr1_KI270761v1_alt
CHR_HSCHR1_1_CTG3	chr1_KI270762v1_alt
CHR_HSCHR1_3_CTG32_1	chr1_KI270763v1_alt
CHR_HSCHR1_4_CTG32_1	chr1_KI270764v1_alt
CHR_HSCHR1_4_CTG31	chr1_KI270765v1_alt
CHR_HSCHR1_2_CTG3	chr1_KI270766v1_alt
CHR_HSCHR2_1_CTG5	chr2_GL383521v1_alt
CHR_HSCHR2_1_CTG7_2	chr2_GL383522v1_alt
CHR_HSCHR2_2_CTG7_2	chr2_GL582966v2_alt
CHR_HSCHR2_1_CTG15	chr2_KI270767v1_alt
CHR_HSCHR2_3_CTG7_2	chr2_KI270768v1_alt
CHR_HSCHR2_1_CTG1	chr2_KI270769v1_alt
CHR_HSCHR2_2_CTG1	chr2_KI270770v1_alt
CHR_HSCHR2_4_CTG7_2	chr2_KI270771v1_alt
CHR_HSCHR2_1_CTG7	chr2_KI270772v1_alt
CHR_HSCHR2_3_CTG1	chr2_KI270773v1_alt
CHR_HSCHR2_4_CTG1	chr2_KI270774v1_alt
CHR_HSCHR2_5_CTG7_2	chr2_KI270775v1_alt
CHR_HSCHR2_3_CTG15	chr2_KI270776v1_alt
CHR_HSCHR3_1_CTG2_1	chr3_GL383526v1_alt
CHR_HSCHR3_1_CTG1	chr3_JH636055v2_alt
CHR_HSCHR3_2_CTG2_1	chr3_KI270777v1_alt
CHR_HSCHR3_3_CTG2_1	chr3_KI270778v1_alt
CHR_HSCHR3_1_CTG3	chr3_KI270779v1_alt
CHR_HSCHR3_4_CTG2_1	chr3_KI270780v1_alt
CHR_HSCHR3_5_CTG2_1	chr3_KI270781v1_alt
CHR_HSCHR3_2_CTG3	chr3_KI270782v1_alt
CHR_HSCHR3_3_CTG1	chr3_KI270783v1_alt
CHR_HSCHR3_9_CTG3	chr3_KI270784v1_alt
CHR_HSCHR4_1_CTG9	chr4_GL000257v2_alt
CHR_HSCHR4_1_CTG12	chr4_GL383527v1_alt
CHR_HSCHR4_1_CTG6	chr4_GL383528v1_alt
CHR_HSCHR4_2_CTG12	chr4_KI270785v1_alt
CHR_HSCHR4_3_CTG12	chr4_KI270786v1_alt
CHR_HSCHR4_1_CTG8_1	chr4_KI270787v1_alt
CHR_HSCHR4_4_CTG12	chr4_KI270788v1_alt
CHR_HSCHR4_5_CTG12	chr4_KI270789v1_alt
CHR_HSCHR4_1_CTG4	chr4_KI270790v1_alt
CHR_HSCHR5_2_CTG1_1	chr5_GL339449v2_alt
CHR_HSCHR5_3_CTG1_1	chr5_GL383530v1_alt
CHR_HSCHR5_1_CTG5	chr5_GL383531v1_alt
CHR_HSCHR5_1_CTG1	chr5_GL383532v1_alt
CHR_HSCHR5_2_CTG1	chr5_GL949742v1_alt
CHR_HSCHR5_3_CTG1	chr5_KI270791v1_alt
CHR_HSCHR5_4_CTG1	chr5_KI270792v1_alt
CHR_HSCHR5_5_CTG1	chr5_KI270793v1_alt
CHR_HSCHR5_6_CTG1	chr5_KI270794v1_alt
CHR_HSCHR5_2_CTG5	chr5_KI270795v1_alt
CHR_HSCHR5_4_CTG1_1	chr5_KI270796v1_alt
CHR_HSCHR6_MHC_APD_CTG1	chr6_GL000250v2_alt
CHR_HSCHR6_1_CTG2	chr6_GL383533v1_alt
CHR_HSCHR6_1_CTG3	chr6_KB021644v2_alt
CHR_HSCHR6_1_CTG4	chr6_KI270797v1_alt
CHR_HSCHR6_1_CTG5	chr6_KI270798v1_alt
CHR_HSCHR6_1_CTG6	chr6_KI270799v1_alt
CHR_HSCHR6_1_CTG7	chr6_KI270800v1_alt
CHR_HSCHR6_1_CTG8	chr6_KI270801v1_alt
CHR_HSCHR6_1_CTG9	chr6_KI270802v1_alt
CHR_HSCHR7_1_CTG6	chr7_GL383534v2_alt
CHR_HSCHR7_2_CTG6	chr7_KI270803v1_alt
CHR_HSCHR7_1_CTG1	chr7_KI270804v1_alt
CHR_HSCHR7_1_CTG7	chr7_KI270805v1_alt
CHR_HSCHR7_1_CTG4_4	chr7_KI270806v1_alt
CHR_HSCHR7_2_CTG7	chr7_KI270807v1_alt
CHR_HSCHR7_3_CTG6	chr7_KI270808v1_alt
CHR_HSCHR7_2_CTG4_4	chr7_KI270809v1_alt
CHR_HSCHR8_1_CTG7	chr8_KI270810v1_alt
CHR_HSCHR8_1_CTG1	chr8_KI270811v1_alt
CHR_HSCHR8_2_CTG1	chr8_KI270812v1_alt
CHR_HSCHR8_3_CTG1	chr8_KI270813v1_alt
CHR_HSCHR8_1_CTG6	chr8_KI270814v1_alt
CHR_HSCHR8_2_CTG7	chr8_KI270815v1_alt
CHR_HSCHR8_3_CTG7	chr8_KI270816v1_alt
CHR_HSCHR8_4_CTG7	chr8_KI270817v1_alt
CHR_HSCHR8_4_CTG1	chr8_KI270818v1_alt
CHR_HSCHR8_5_CTG7	chr8_KI270819v1_alt
CHR_HSCHR8_6_CTG7	chr8_KI270820v1_alt
CHR_HSCHR8_8_CTG1	chr8_KI270821v1_alt
CHR_HSCHR8_9_CTG1	chr8_KI270822v1_alt
CHR_HSCHR9_1_CTG1	chr9_GL383539v1_alt
CHR_HSCHR9_1_CTG2	chr9_GL383540v1_alt
CHR_HSCHR9_1_CTG3	chr9_GL383541v1_alt
CHR_HSCHR9_1_CTG4	chr9_GL383542v1_alt
CHR_HSCHR9_1_CTG5	chr9_KI270823v1_alt
CHR_HSCHR10_1_CTG1	chr10_GL383545v1_alt
CHR_HSCHR10_1_CTG2	chr10_GL383546v1_alt
CHR_HSCHR10_1_CTG3	chr10_KI270824v1_alt
CHR_HSCHR10_1_CTG4	chr10_KI270825v1_alt
CHR_HSCHR11_1_CTG1_1	chr11_GL383547v1_alt
CHR_HG142_HG150_NOVEL_TEST	chr11_JH159136v1_alt
CHR_HG151_NOVEL_TEST	chr11_JH159137v1_alt
CHR_HSCHR11_1_CTG2	chr11_KI270826v1_alt
CHR_HSCHR11_1_CTG3	chr11_KI270827v1_alt
CHR_HSCHR11_1_CTG5	chr11_KI270829v1_alt
CHR_HSCHR11_1_CTG6	chr11_KI270830v1_alt
CHR_HSCHR11_1_CTG7	chr11_KI270831v1_alt
CHR_HSCHR11_1_CTG8	chr11_KI270832v1_alt
CHR_HSCHR12_1_CTG2	chr12_GL383549v1_alt
CHR_HSCHR12_1_CTG2_1	chr12_GL383550v2_alt
CHR_HSCHR12_4_CTG2_1	chr12_GL383551v1_alt
CHR_HSCHR12_2_CTG2_1	chr12_GL383552v1_alt
CHR_HSCHR12_3_CTG2_1	chr12_GL383553v2_alt
CHR_HSCHR12_1_CTG1	chr12_GL877875v1_alt
CHR_HSCHR12_2_CTG2	chr12_GL877876v1_alt
CHR_HSCHR12_5_CTG2_1	chr12_KI270833v1_alt
CHR_HSCHR12_6_CTG2_1	chr12_KI270834v1_alt
CHR_HSCHR12_4_CTG2	chr12_KI270835v1_alt
CHR_HSCHR12_7_CTG2_1	chr12_KI270836v1_alt
CHR_HSCHR12_5_CTG2	chr12_KI270837v1_alt
CHR_HSCHR13_1_CTG1	chr13_KI270838v1_alt
CHR_HSCHR13_1_CTG2	chr13_KI270839v1_alt
CHR_HSCHR13_1_CTG3	chr13_KI270840v1_alt
CHR_HSCHR13_1_CTG4	chr13_KI270841v1_alt
CHR_HSCHR13_1_CTG5	chr13_KI270842v1_alt
CHR_HSCHR13_1_CTG6	chr13_KI270843v1_alt
CHR_HSCHR14_1_CTG1	chr14_KI270844v1_alt
CHR_HSCHR14_2_CTG1	chr14_KI270845v1_alt
CHR_HSCHR14_3_CTG1	chr14_KI270846v1_alt
CHR_HSCHR14_7_CTG1	chr14_KI270847v1_alt
CHR_HSCHR15_1_CTG8	chr15_GL383554v1_alt
CHR_HSCHR15_2_CTG8	chr15_GL383555v2_alt
CHR_HSCHR15_1_CTG3	chr15_KI270848v1_alt
CHR_HSCHR15_3_CTG8	chr15_KI270849v1_alt
CHR_HSCHR15_5_CTG8	chr15_KI270850v1_alt
CHR_HSCHR15_3_CTG3	chr15_KI270851v1_alt
CHR_HSCHR15_1_CTG1	chr15_KI270852v1_alt
CHR_HSCHR16_1_CTG3_1	chr16_GL383556v1_alt
CHR_HSCHR16_2_CTG3_1	chr16_GL383557v1_alt
CHR_HSCHR16_1_CTG1	chr16_KI270853v1_alt
CHR_HSCHR16_CTG2	chr16_KI270854v1_alt
CHR_HSCHR16_3_CTG1	chr16_KI270855v1_alt
CHR_HSCHR16_4_CTG1	chr16_KI270856v1_alt
CHR_HSCHR17_1_CTG5	chr17_GL000258v2_alt
CHR_HSCHR17_1_CTG1	chr17_GL383563v3_alt
CHR_HSCHR17_1_CTG4	chr17_GL383564v2_alt
CHR_HSCHR17_2_CTG4	chr17_GL383565v1_alt
CHR_HSCHR17_3_CTG4	chr17_GL383566v1_alt
CHR_HSCHR17_4_CTG4	chr17_JH159146v1_alt
CHR_HSCHR17_5_CTG4	chr17_JH159147v1_alt
CHR_HSCHR17_7_CTG4	chr17_KI270857v1_alt
CHR_HSCHR17_8_CTG4	chr17_KI270858v1_alt
CHR_HSCHR17_9_CTG4	chr17_KI270859v1_alt
CHR_HSCHR17_1_CTG9	chr17_KI270860v1_alt
CHR_HSCHR17_1_CTG2	chr17_KI270861v1_alt
CHR_HSCHR17_2_CTG2	chr17_KI270862v1_alt
CHR_HSCHR18_1_CTG1_1	chr18_GL383567v1_alt
CHR_HSCHR18_1_CTG2	chr18_GL383568v1_alt
CHR_HSCHR18_1_CTG2_1	chr18_GL383569v1_alt
CHR_HSCHR18_2_CTG1_1	chr18_GL383570v1_alt
CHR_HSCHR18_2_CTG2	chr18_GL383571v1_alt
CHR_HSCHR18_2_CTG2_1	chr18_GL383572v1_alt
CHR_HSCHR18_3_CTG2_1	chr18_KI270863v1_alt
CHR_HSCHR18_4_CTG1_1	chr18_KI270864v1_alt
CHR_HSCHR19_1_CTG2	chr19_GL383573v1_alt
CHR_HSCHR19_1_CTG3_1	chr19_GL383574v1_alt
CHR_HSCHR19_2_CTG2	chr19_GL383575v2_alt
CHR_HSCHR19_3_CTG2	chr19_GL383576v1_alt
CHR_HSCHR19LRC_COX1_CTG3_1	chr19_GL949746v1_alt
CHR_HSCHR19_4_CTG2	chr19_KI270865v1_alt
CHR_HSCHR19_2_CTG3_1	chr19_KI270866v1_alt
CHR_HSCHR19_3_CTG3_1	chr19_KI270867v1_alt
CHR_HSCHR19_5_CTG2	chr19_KI270868v1_alt
CHR_HSCHR20_1_CTG1	chr20_GL383577v2_alt
CHR_HSCHR20_1_CTG2	chr20_KI270869v1_alt
CHR_HSCHR20_1_CTG3	chr20_KI270870v1_alt
CHR_HSCHR20_1_CTG4	chr20_KI270871v1_alt
CHR_HSCHR21_1_CTG1_1	chr21_GL383578v2_alt
CHR_HSCHR21_2_CTG1_1	chr21_GL383579v2_alt
CHR_HSCHR21_3_CTG1_1	chr21_GL383580v2_alt
CHR_HSCHR21_4_CTG1_1	chr21_GL383581v2_alt
CHR_HSCHR21_5_CTG2	chr21_KI270872v1_alt
CHR_HSCHR21_6_CTG1_1	chr21_KI270873v1_alt
CHR_HSCHR21_8_CTG1_1	chr21_KI270874v1_alt
CHR_HSCHR22_1_CTG1	chr22_GL383582v2_alt
CHR_HSCHR22_1_CTG2	chr22_GL383583v2_alt
CHR_HSCHR22_1_CTG3	chr22_KI270875v1_alt
CHR_HSCHR22_1_CTG4	chr22_KI270876v1_alt
CHR_HSCHR22_1_CTG5	chr22_KI270877v1_alt
CHR_HSCHR22_1_CTG6	chr22_KI270878v1_alt
CHR_HSCHR22_1_CTG7	chr22_KI270879v1_alt
CHR_HSCHRX_1_CTG3	chrX_KI270880v1_alt
CHR_HSCHRX_2_CTG12	chrX_KI270881v1_alt
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	chr19_KI270882v1_alt
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	chr19_KI270883v1_alt
CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	chr19_KI270884v1_alt
CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	chr19_KI270885v1_alt
CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	chr19_KI270886v1_alt
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	chr19_KI270887v1_alt
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	chr19_KI270888v1_alt
CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	chr19_KI270889v1_alt
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	chr19_KI270890v1_alt
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	chr19_KI270891v1_alt
CHR_HSCHR1_ALT2_1_CTG32_1	chr1_KI270892v1_alt
CHR_HSCHR2_2_CTG15	chr2_KI270893v1_alt
CHR_HSCHR2_2_CTG7	chr2_KI270894v1_alt
CHR_HSCHR3_3_CTG3	chr3_KI270895v1_alt
CHR_HSCHR4_6_CTG12	chr4_KI270896v1_alt
CHR_HSCHR5_1_CTG1_1	chr5_KI270897v1_alt
CHR_HSCHR5_3_CTG5	chr5_KI270898v1_alt
CHR_HSCHR6_MHC_COX_CTG1	chr6_GL000251v2_alt
CHR_HSCHR7_2_CTG1	chr7_KI270899v1_alt
CHR_HSCHR8_5_CTG1	chr8_KI270900v1_alt
CHR_HSCHR8_6_CTG1	chr8_KI270901v1_alt
CHR_HSCHR11_2_CTG1	chr11_KI270902v1_alt
CHR_HSCHR11_2_CTG1_1	chr11_KI270903v1_alt
CHR_HSCHR12_3_CTG2	chr12_KI270904v1_alt
CHR_HSCHR15_4_CTG8	chr15_KI270905v1_alt
CHR_HSCHR15_2_CTG3	chr15_KI270906v1_alt
CHR_HSCHR17_6_CTG4	chr17_JH159148v1_alt
CHR_HSCHR17_2_CTG1	chr17_KI270907v1_alt
CHR_HSCHR17_2_CTG5	chr17_KI270908v1_alt
CHR_HSCHR17_10_CTG4	chr17_KI270909v1_alt
CHR_HSCHR17_3_CTG2	chr17_KI270910v1_alt
CHR_HSCHR18_ALT2_CTG2_1	chr18_KI270911v1_alt
CHR_HSCHR18_ALT21_CTG2_1	chr18_KI270912v1_alt
CHR_HSCHR19LRC_COX2_CTG3_1	chr19_GL949747v2_alt
CHR_HSCHR22_2_CTG1	chr22_KB663609v1_alt
CHR_HSCHRX_2_CTG3	chrX_KI270913v1_alt
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	chr19_KI270914v1_alt
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	chr19_KI270915v1_alt
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	chr19_KI270916v1_alt
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	chr19_KI270917v1_alt
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	chr19_KI270918v1_alt
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	chr19_KI270919v1_alt
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	chr19_KI270920v1_alt
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	chr19_KI270921v1_alt
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	chr19_KI270922v1_alt
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	chr19_KI270923v1_alt
CHR_HSCHR3_4_CTG3	chr3_KI270924v1_alt
CHR_HSCHR4_7_CTG12	chr4_KI270925v1_alt
CHR_HSCHR6_MHC_DBB_CTG1	chr6_GL000252v2_alt
CHR_HSCHR8_7_CTG1	chr8_KI270926v1_alt
CHR_HSCHR11_3_CTG1	chr11_KI270927v1_alt
